"Player","I","B","R","W","Econ","Avg","SR","4W","5W","BBI","4s","6s","Dots"
"MW Short","1","1","1","0","6","","","0","0","0/1","0","0","0"
"N Burger","9","60","109","2","10.9","54.5","30","0","0","1/9","10","7","20"
"N Rana","1","12","29","0","14.5","","","0","0","0/29","1","3","2"
"NA Saini","1","12","20","0","10","","","0","0","0/20","3","0","5"
"Noor Ahmad","14","276","375","13","8.15","28.85","21.23","0","0","3/21","25","16","84"
"PJ Cummins","8","60","68","4","6.8","17","15","0","0","2/3","8","1","26"
"PP Hinge","5","36","84","3","14","28","12","0","0","2/41","7","6","10"
"PR Veer","1","6","7","0","7","","","0","0","0/7","1","0","2"
"Prince Yadav","14","96","127","7","7.94","18.14","13.71","0","0","2/3","6","8","36"
"R Parag","4","24","38","2","9.5","19","12","0","0","1/5","4","1","5"
"R Sai Kishore","2","24","46","1","11.5","46","24","0","0","1/38","2","4","6"
"R Shepherd","10","108","201","4","11.17","50.25","27","0","0","2/30","16","12","27"
"RA Bawa","2","18","35","1","11.67","35","18","0","0","1/11","2","2","5"
"RA Jadeja","12","198","277","10","8.39","27.7","19.8","0","0","2/8","14","13","53"
"Ramandeep Singh","1","6","14","0","14","","","0","0","0/14","0","1","0"
"Rashid Khan","17","275","400","19","8.73","21.05","14.47","1","0","4/33","20","26","93"
"Rasikh Salam","9","72","124","4","10.33","31","18","0","0","1/5","18","0","15"
"Ravi Bishnoi","9","114","192","6","10.11","32","19","1","0","4/31","12","10","25"
"RD Chahar","1","18","32","0","10.67","","","0","0","0/32","2","2","3"
"RS Ghosh","1","17","23","1","8.12","23","17","0","0","1/23","4","0","6"
"RS Sharma","5","84","116","1","8.29","116","84","0","0","1/22","5","6","21"
"S Dube","4","30","64","1","12.8","64","30","0","0","1/30","9","2","6"
"Sakib Hussain","11","114","171","5","9","34.2","22.8","0","0","1/7","15","7","34"
"Sandeep Sharma","2","18","25","2","8.33","12.5","9","0","0","1/9","1","1","7"
"SH Johnson","3","18","21","2","7","10.5","9","0","0","1/4","2","1","9"
"Shahbaz Ahmed","4","54","93","3","10.33","31","18","0","0","2/30","10","3","11"
"Shashank Singh","4","48","61","3","7.62","20.33","16","0","0","2/20","5","1","14"
"Shivang Kumar","13","216","327","7","9.08","46.71","30.86","0","0","3/33","28","14","57"
"SN Thakur","7","72","138","6","11.5","23","12","0","0","3/17","14","5","21"
"SP Narine","13","180","194","4","6.47","48.5","45","0","0","1/4","8","10","71"
"SS Mishra","2","24","42","1","10.5","42","24","0","0","1/20","5","1","10"
"Suyash Sharma","12","222","357","7","9.65","51","31.71","0","0","2/47","29","18","61"
"T Natarajan","10","105","208","1","11.89","208","105","0","0","1/24","14","13","21"
