"Player","I","B","R","W","Econ","Avg","SR","4W","5W","BBI","4s","6s","Dots"
"Shashank Singh","2","12","27","1","13.5","27","12","0","0","1/12","1","3","3"
"Shivang Kumar","2","12","25","2","12.5","12.5","6","0","0","1/10","1","2","4"
"SN Thakur","5","36","73","4","12.17","18.25","9","0","0","2/28","5","5","11"
"SP Narine","9","54","49","9","5.44","5.44","6","0","0","2/9","3","3","31"
"SR Dubey","4","25","44","2","10.56","22","12.5","0","0","1/5","5","2","10"
"SS Mishra","2","8","12","1","9","12","8","0","0","1/1","0","1","3"
"Suyash Sharma","4","23","19","2","4.96","9.5","11.5","0","0","2/1000","2","0","12"
"T Natarajan","9","74","130","4","10.54","32.5","18.5","0","0","2/5","13","6","18"
"TA Boult","4","25","41","2","9.84","20.5","12.5","0","0","1/8","4","1","4"
"TM Head","1","6","7","1","7","7","6","0","0","1/7","1","0","2"
"TU Deshpande","6","48","99","2","12.38","49.5","24","0","0","1/4","5","8","14"
"V Vyshak","7","42","79","4","11.29","19.75","10.5","0","0","2/6","6","5","16"
"VG Arora","10","92","156","6","10.17","26","15.33","0","0","2/20","14","7","27"
"Washington Sundar","2","7","21","0","18","","","0","0","0/4","1","2","0"
"WG Jacks","1","5","7","0","8.4","","","0","0","0/7","1","0","3"
"XC Bartlett","8","71","126","2","10.65","63","35.5","0","0","1/11","9","7","18"
"Yash Raj Punja","3","18","19","1","6.33","19","18","0","0","1/5","0","1","4"
"Yash Thakur","1","6","22","1","22","22","6","0","0","1/22","2","2","2"
"YS Chahal","5","30","59","1","11.8","59","30","0","0","1/3","3","4","4"
