"Player","I","B","R","W","Econ","Avg","SR","4W","5W","BBI","4s","6s","Dots"
"Sandeep Sharma","6","118","224","5","11.39","44.8","23.6","0","0","2/26","17","13","32"
"SH Johnson","3","66","112","2","10.18","56","33","0","0","1/39","14","4","28"
"Shahbaz Ahmed","5","67","130","5","11.64","26","13.4","0","0","2/30","14","6","16"
"Shashank Singh","4","60","88","4","8.8","22","15","0","0","2/20","6","4","17"
"Shivang Kumar","13","234","375","9","9.62","41.67","26","0","0","3/33","30","19","63"
"SN Thakur","7","132","270","12","12.27","22.5","11","1","0","4/39","27","13","37"
"SP Narine","13","306","339","15","6.65","22.6","20.4","0","0","2/26","22","18","137"
"SR Dubey","4","77","106","5","8.26","21.2","15.4","0","0","2/28","10","5","41"
"SS Mishra","2","38","67","2","10.58","33.5","19","0","0","2/21","6","3","16"
"Suyash Sharma","12","245","376","9","9.21","41.78","27.22","0","0","2/47","31","18","73"
"T Natarajan","10","191","356","5","11.18","71.2","38.2","0","0","3/29","29","19","43"
"T Vijay","1","12","29","0","14.5","","","0","0","0/29","3","2","2"
"TA Boult","5","97","188","2","11.63","94","48.5","0","0","1/41","12","13","25"
"TH David","1","6","18","0","18","","","0","0","0/18","1","2","1"
"TM Head","1","6","7","1","7","7","6","0","0","1/7","1","0","2"
"TU Deshpande","7","138","275","4","11.96","68.75","34.5","0","0","1/24","31","13","40"
"V Nigam","5","54","113","2","12.56","56.5","27","0","0","1/24","9","8","14"
"V Vyshak","9","186","330","9","10.65","36.67","20.67","0","0","3/34","26","18","52"
"VG Arora","10","230","395","11","10.3","35.91","20.91","0","0","2/29","46","16","75"
"Washington Sundar","5","55","84","1","9.16","84","55","0","0","1/27","3","6","14"
"WG Jacks","6","53","94","2","10.64","47","26.5","0","0","1/12","8","6","20"
"XC Bartlett","9","201","388","5","11.58","77.6","40.2","0","0","2/9","41","18","57"
"Yash Raj Punja","8","180","279","9","9.3","31","20","0","0","2/35","14","18","49"
"Yash Thakur","1","24","55","2","13.75","27.5","12","0","0","2/55","5","3","8"
"YS Chahal","12","246","385","12","9.39","32.08","20.5","0","0","3/36","18","21","57"
